datetime,in_avg_response_time,in_throughput,in_progress_requests,http_error_count,ballerina_error_count,cpu,memory,cpuPercentage,memoryPercentage
2021-02-17 09:51:30+00:00,75.38800117080746,30.579297245963915,2.3053120965811966,0,0,83.568378,184.4296875,16.7136756,52.69419642857143
2021-02-17 09:51:40+00:00,91.26938968387095,29.375533023784705,2.681086970719227,0,0,83.568378,184.4296875,16.7136756,52.69419642857143
2021-02-17 09:51:50+00:00,84.67192318126888,31.353604243629817,2.65476996997253,0,0,83.568378,184.4296875,16.7136756,52.69419642857143
2021-02-17 09:52:00+00:00,77.00711070605188,32.93470007593014,2.536206094817768,0,0,79.36138,184.36328125,15.872276,52.67522321428572
2021-02-17 09:52:10+00:00,92.31525804694836,20.151371807000945,1.8602790883632925,0,0,79.36138,184.36328125,15.872276,52.67522321428572
2021-02-17 09:52:20+00:00,71.94638382200648,29.29743054897127,2.107844183274865,0,0,79.36138,184.36328125,15.872276,52.67522321428572
2021-02-17 09:52:30+00:00,76.78938933232628,31.404174573055027,2.411507387950664,0,0,79.36138,184.36328125,15.872276,52.67522321428572
2021-02-17 09:52:40+00:00,71.54738713235295,32.00903784598004,2.290163022500471,0,0,79.36138,184.36328125,15.872276,52.67522321428572
2021-02-17 09:52:50+00:00,83.62038445794393,30.48143576108632,2.5488693771721587,0,0,79.36138,184.36328125,15.872276,52.67522321428572
2021-02-17 09:53:00+00:00,82.69546783257918,20.95183921122488,1.7326221455252182,0,0,104.8174,184.36328125,20.96348,52.67522321428572
2021-02-17 09:53:10+00:00,70.6533216238806,31.77463720003794,2.2449836615764016,0,0,104.8174,184.36328125,20.96348,52.67522321428572
2021-02-17 09:53:20+00:00,70.40561543636363,31.2588803637397,2.200800709860756,0,0,104.8174,184.36328125,20.96348,52.67522321428572
2021-02-17 09:53:40+00:00,67.11409639215687,33.88382687927107,2.2740824233105545,0,0,104.8174,184.36328125,20.96348,52.67522321428572
2021-02-17 09:53:50+00:00,77.39053821387283,32.83978739559605,2.5414888213743354,0,0,104.8174,184.36328125,20.96348,52.67522321428572
2021-02-17 09:54:00+00:00,72.77200409090909,21.88121625461779,1.5923399587951124,0,0,106.995859,184.36328125,21.3991718,52.67522321428572
2021-02-17 09:54:10+00:00,70.86678769599999,33.64133847672019,2.384053591639005,0,0,106.995859,184.36328125,21.3991718,52.67522321428572
2021-02-17 09:54:20+00:00,75.92763689117648,32.114857844526306,2.438405265230944,0,0,106.995859,184.36328125,21.3991718,52.67522321428572
2021-02-17 09:54:30+00:00,66.84435132298137,30.567685589519648,2.043277114676286,0,0,106.995859,184.36328125,21.3991718,52.67522321428572
2021-02-17 09:54:40+00:00,63.20947725239617,29.72459639126306,1.8788761994302,0,0,106.995859,184.36328125,21.3991718,52.67522321428572
2021-02-17 09:54:50+00:00,91.46515339147288,24.38563327032136,2.2304356876181477,0,0,106.995859,184.36328125,21.3991718,52.67522321428572
